t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,1.049914407197323811e+02,-1.476286903152157777e+02,9.263724959548339655e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000001421e+01,1.049914407197323811e+02,-1.367281990096205391e+02,8.173675828988817216e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.049914407197323811e+02,-1.271103527655120331e+02,7.211891204577965198e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.049914407197323811e+02,-1.186242245918368923e+02,6.363278387210451115e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.049914407197323811e+02,-1.111366468585001996e+02,5.614520613876781852e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.049914407197323811e+02,-1.045301215780224311e+02,4.953868085829004997e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.999999999999999289e+01,1.047946696126271178e+02,-9.833058813897662276e+01,4.353591852634949788e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.321999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.048790000871008061e+02,-9.336651741618668154e+01,3.848751732908587542e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.319000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.044292375565745061e+02,-8.799114470986593517e+01,3.356190715329142904e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.335000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.040638055005218803e+02,-8.335409933963855167e+01,2.929029383911667139e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.040638055005218803e+02,-7.990755278600266820e+01,2.584374728548078792e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000711e+01,1.040638055005218803e+02,-7.686655638531593127e+01,2.280275088479405809e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.039794750260481919e+02,-7.402465173320460678e+01,2.004517670715641486e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.351000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.036140429699955945e+02,-7.097810050384985914e+01,1.736405753385426820e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.364000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.032486109139429828e+02,-6.824703269358907676e+01,1.499842177964609569e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.376999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,4.999999999999999289e+01,1.031642804394693087e+02,-6.632345217057428499e+01,1.315917173110496918e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.999999999999999289e+01,1.030799499649956203e+02,-6.461629354318444030e+01,1.153634357818881462e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.382999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.022647553784166945e+02,-6.172436225948951716e+01,9.459606881072824436e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.022647553784166945e+02,-6.061126398625980016e+01,8.346508607843105665e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.019836537968377712e+02,-5.910001603226691458e+01,7.116362235429141592e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.421999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.013652303173641087e+02,-5.709856600897045098e+01,5.733335691606344042e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.013652303173641087e+02,-5.642393268240566329e+01,5.058702365041553684e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.009997982613114971e+02,-5.514081823448695729e+01,4.141019973175459334e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.457000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.008030271542062337e+02,-5.428316195536795163e+01,3.480134801161714808e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.464000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.004375950981536363e+02,-5.318579527177199395e+01,2.748200173618358111e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.004375950981536363e+02,-5.286241852829813581e+01,2.424823430144502190e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,9.962240051157469622e+01,-5.104262665491829409e+01,1.420226143343595204e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.505999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,9.953807003710102208e+01,-5.071677279289022522e+01,1.178702755789202250e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
