t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,4.999999999999998579e+01,1.040638055005218803e+02,-1.458825733726716862e+02,9.181876787214979174e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,4.999999999999998579e+01,1.040638055005218803e+02,-1.350783916288126534e+02,8.101458612829075889e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.040638055005218803e+02,-1.255455223394713329e+02,7.148171683894945261e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000711e+01,1.040638055005218803e+02,-1.171343720050816728e+02,6.307056650455979963e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.039794750260481919e+02,-1.095542116731517979e+02,5.557473664710360595e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.351000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.999999999999999289e+01,1.038951445515745320e+02,-1.028560748096022905e+02,4.896093025802775145e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.353999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.999999999999999289e+01,1.038108140771008436e+02,-9.693617498737057758e+01,4.312536091026972684e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.357000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.036983734444692686e+02,-9.165002554368004439e+01,3.795165209921077576e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.360999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,4.999999999999999289e+01,1.033610515465745436e+02,-8.654935786316136159e+01,3.318830631658681085e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.373000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.031642804394693087e+02,-8.227374937129742705e+01,2.910946893182811834e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.031642804394693087e+02,-7.884848022322292138e+01,2.568419978375361623e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.029956194905219320e+02,-7.550878173879421240e+01,2.251316224827228041e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.385999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.031642804394693087e+02,-7.317716627471016011e+01,2.001288583524085141e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.024334163273640570e+02,-6.944655041550250019e+01,1.701313408813844674e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.405999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000711e+01,1.022647553784166945e+02,-6.712716370239722607e+01,1.486240832398053691e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.021804249039430204e+02,-6.521958768618074487e+01,1.303916278223772451e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.414999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.018149928478904087e+02,-6.299742399217415567e+01,1.118243114428374874e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.428000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.014495607918377971e+02,-6.099373922715910368e+01,9.544178435321304832e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.441000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.013652303173641087e+02,-5.971195163747325552e+01,8.346721320109145026e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.011684592102588454e+02,-5.835941655780296600e+01,7.190957347544120637e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.451000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.005500357307851829e+02,-5.634918903544862445e+01,5.799153304663440700e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.473000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.004375950981536363e+02,-5.545516050696707566e+01,5.017565408813442929e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.004375950981536363e+02,-5.486475083534084973e+01,4.427155737187215223e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,9.953807003710102208e+01,-5.265060950875289336e+01,3.112539471651874390e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,9.953807003710102208e+01,-5.228436148652407667e+01,2.746291449423055919e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,9.900397703210104794e+01,-5.095586928203991306e+01,1.951892249938865564e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.528000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,9.863854497604845051e+01,-5.003832869124343574e+01,1.399783715194981681e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,9.855421450157476215e+01,-4.971488026019773088e+01,1.160665758622966282e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.544000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,9.782335038946951045e+01,-4.820257789727461528e+01,3.792275078051069448e-01,0.000000000000000000e+00,6.050000000000000000e+01,2.569999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,9.773901991499583630e+01,-4.799921684052061011e+01,2.601969255247711388e-01,0.000000000000000000e+00,6.050000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,9.754224880789060137e+01,-4.759821140190255306e+01,5.596259401195211036e-02,0.000000000000000000e+00,6.050000000000000000e+01,2.580000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,9.683949485394325052e+01,-4.626881049876347163e+01,-5.706843551797796676e-01,0.000000000000000000e+00,6.050000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,9.683949485394325052e+01,-4.633596210223875289e+01,-5.035327517045000700e-01,0.000000000000000000e+00,6.050000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,9.610863074183801302e+01,-4.501948357337617779e+01,-1.089147168461837678e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.630999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,9.591185963473277809e+01,-4.477725350459028419e+01,-1.134606130142493452e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,9.537776662973278974e+01,-4.390542091066972574e+01,-1.472345719063065550e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.657000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,9.501233457368016389e+01,-4.339080545390280719e+01,-1.621529119777357142e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,9.492800409920647553e+01,-4.342287053856390600e+01,-1.505133560642566204e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.673000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,9.456257204315387810e+01,-4.291211317973957762e+01,-1.650458863414303590e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.685999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,9.411280951262759231e+01,-4.225971813543990407e+01,-1.853091377187689570e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,9.383170793104862639e+01,-4.194864237398144269e+01,-1.883065557067185702e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.712000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,9.329761492604865225e+01,-4.116487991935594692e+01,-2.132735006692702662e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.730999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,9.321328445157497811e+01,-4.125709786207386998e+01,-1.956186589501107909e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,9.239808986499608068e+01,-3.995281310745468062e+01,-2.445276757541398283e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.762999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000000e+01,9.228564923236449147e+01,-4.002889475177155276e+01,-2.256754480592936041e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,9.220131875789080311e+01,-4.013570588678388873e+01,-2.065612871106911719e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.769999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,9.147045464578557983e+01,-3.900303506847560442e+01,-2.467419577309974077e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.796000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,9.138612417131191989e+01,-3.913463486102244815e+01,-2.251489310289474854e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,5.000000000000000000e+01,9.093636164078560569e+01,-3.855296220095983983e+01,-2.383399439825768962e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.814999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,5.000000000000000000e+01,9.048659911025930569e+01,-3.798681121523892301e+01,-2.499787895020379569e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e+01,9.020549752868038240e+01,-3.775183129860296560e+01,-2.453666230077418131e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.841000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,5.000000000000000000e+01,8.967140452368039405e+01,-3.703521060069274284e+01,-2.636193922987648985e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.860000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,5.000000000000000000e+01,8.958707404920671991e+01,-3.718666982662840326e+01,-2.400404222578317093e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,5.000000000000000000e+01,8.947463341657513070e+01,-3.725747138459383478e+01,-2.217162031981296799e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.867000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,5.000000000000000000e+01,8.865943882999623327e+01,-3.598389523320012984e+01,-2.675543596796106094e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,5.000000000000000000e+01,8.857510835552255912e+01,-3.613998467839531514e+01,-2.435123677127241759e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.898999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,5.000000000000000000e+01,8.784424424341732163e+01,-3.505079366271431240e+01,-2.793450580703007002e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.925000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,5.000000000000000000e+01,8.775991376894363327e+01,-3.522075705233851295e+01,-2.539156716605119435e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,5.000000000000000000e+01,8.739448171289102163e+01,-3.483167170418558811e+01,-2.562810008705431741e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.941000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,5.000000000000000000e+01,8.686038870789103328e+01,-3.412789379700146242e+01,-2.732494910889573081e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,5.000000000000000000e+01,8.657928712631210999e+01,-3.392029617867756031e+01,-2.658990947634551016e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.969999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,5.000000000000000000e+01,8.596086364683844749e+01,-3.306909783973489425e+01,-2.891765807103555019e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,5.000000000000000000e+01,8.596086364683844749e+01,-3.340936774385871644e+01,-2.551495902979731500e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,5.000000000000000000e+01,8.531433000920689835e+01,-3.249260798371176406e+01,-2.821722025495135622e+00,0.000000000000000000e+00,6.050000000000000000e+01,3.014999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,5.000000000000000000e+01,8.506133858578586171e+01,-3.234842222565913517e+01,-2.712916360126727877e+00,0.000000000000000000e+00,6.050000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,5.000000000000000000e+01,8.478023700420692421e+01,-3.213852082755657591e+01,-2.641716176650350523e+00,0.000000000000000000e+00,6.050000000000000000e+01,3.033999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,5.000000000000000000e+01,8.424614399920693586e+01,-3.144402769514066165e+01,-2.802116304066272434e+00,0.000000000000000000e+00,6.050000000000000000e+01,3.053000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,4.999999999999999289e+01,8.413370336657536086e+01,-3.156209813328912261e+01,-2.571605233286238690e+00,0.000000000000000000e+00,6.050000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,5.000000000000000000e+01,8.343094941262802422e+01,-3.054187933973766533e+01,-2.889070072890358887e+00,0.000000000000000000e+00,6.050000000000000000e+01,3.082000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,5.000000000000000711e+01,8.323417830552277508e+01,-3.051144359835393871e+01,-2.722734707168835921e+00,0.000000000000000000e+00,6.050000000000000000e+01,3.089000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
