t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,6.500000000000000000e+01,1.506985578844672773e+02,-2.186646342114783863e+02,1.329660763270111090e+02,0.000000000000000000e+00,7.000000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.500000000000001421e+01,1.505298969355199006e+02,-2.027012323289650340e+02,1.171713353934451476e+02,0.000000000000000000e+00,7.000000000000000000e+01,1.644999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,6.500000000000000000e+01,1.503331258284146656e+02,-1.885434621551929979e+02,1.032103363267783322e+02,0.000000000000000000e+00,7.000000000000000000e+01,1.651999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.500000000000000000e+01,1.499958039305199406e+02,-1.757638993958218521e+02,9.076809546530191142e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.664000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.500000000000000000e+01,1.500801344049936290e+02,-1.652420866597965983e+02,8.016195225480296926e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.660999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.500000000000000000e+01,1.498833632978883657e+02,-1.554391571239948178e+02,7.055579382610645212e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.667999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.500000000000000000e+01,1.497990328234146773e+02,-1.469782209087651665e+02,6.217918808535048925e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.500000000000000000e+01,1.497990328234146773e+02,-1.396616856913122149e+02,5.486265286789754470e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.500000000000000000e+01,1.490681687113094540e+02,-1.318303481008323388e+02,4.776217938952287767e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.696999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.500000000000000000e+01,1.488995077623620773e+02,-1.258927656573193019e+02,4.199325789495722461e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.500000000000000000e+01,1.488995077623620773e+02,-1.209514796781216148e+02,3.705197191575953752e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.500000000000000000e+01,1.484497452318358057e+02,-1.157450255263249517e+02,3.229528029448913884e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.719000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.500000000000000000e+01,1.479999827013094773e+02,-1.110982844045184947e+02,2.809830170320901743e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.500000000000000000e+01,1.478875420686779307e+02,-1.075803473046799610e+02,2.469280523600203381e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.739000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,6.500000000000000000e+01,1.472691185892042540e+02,-1.035107026302290762e+02,2.124158404102482578e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.760999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.500000000000000000e+01,1.470723474820990191e+02,-1.006408476863577022e+02,1.856850020425868664e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,6.500000000000000000e+01,1.464539240026253424e+02,-9.729184113580235760e+01,1.583791713317701166e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.789999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,6.500000000000000000e+01,1.461728224210464191e+02,-9.489908996519143614e+01,1.372626754414501882e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.500000000000000000e+01,1.460041614720990424e+02,-9.296646408902705616e+01,1.196230261692800845e+01,0.000000000000000000e+00,7.000000000000000000e+01,1.805999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,6.500000000000000000e+01,1.452732973599938191e+02,-9.018314872459221476e+01,9.909851364598390333e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.832000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,6.500000000000000000e+01,1.451889668855201307e+02,-8.885833292968996489e+01,8.669366044169841246e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.835000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,6.500000000000000000e+01,1.443737722989412191e+02,-8.630375474984235495e+01,6.929982450901139401e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.864000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,6.500000000000000000e+01,1.441770011918359558e+02,-8.511792528582384421e+01,5.940924093987891119e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.871000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,6.500000000000000000e+01,1.435585777123623075e+02,-8.325478737020540621e+01,4.696209657843105845e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.892999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,6.500000000000000000e+01,1.433618066052570725e+02,-8.233180272310160319e+01,3.969996117844536432e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,6.500000000000000000e+01,1.425466120186781609e+02,-8.033019261222591467e+01,2.783580593547759108e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.928999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,6.500000000000000000e+01,1.424622815442044725e+02,-7.984391480199353452e+01,2.381633257789061986e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.932000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,6.500000000000000000e+01,1.416470869576255609e+02,-7.802920505378803284e+01,1.382118096162477716e+00,0.000000000000000000e+00,7.000000000000000000e+01,1.960999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,6.500000000000000000e+01,1.412816549015729493e+02,-7.717870896438286366e+01,8.970540628099131775e-01,0.000000000000000000e+00,7.000000000000000000e+01,1.973999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,6.500000000000000000e+01,1.407475618965729609e+02,-7.606781385116357797e+01,3.202519545906100107e-01,0.000000000000000000e+00,7.000000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,6.500000000000000000e+01,1.404664603149940092e+02,-7.550100392018292439e+01,3.454360518892071741e-02,0.000000000000000000e+00,7.000000000000000000e+01,2.003000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,6.500000000000000000e+01,1.398480368355203609e+02,-7.433286126237739211e+01,-5.151755731429707996e-01,0.000000000000000000e+00,7.000000000000000000e+01,2.025000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,6.500000000000000000e+01,1.395669352539414376e+02,-7.386435488145120587e+01,-7.025803724902249803e-01,0.000000000000000000e+00,7.000000000000000000e+01,2.035000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,6.500000000000000000e+01,1.389204016163098743e+02,-7.273003590238434413e+01,-1.190365713925525259e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.057999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,6.500000000000000000e+01,1.383863086113099143e+02,-7.186476445811891267e+01,-1.521544153191004334e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.076999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,6.500000000000000000e+01,1.380208765552573027e+02,-7.135593811000757114e+01,-1.664938445249735777e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.089999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,6.500000000000000000e+01,1.372056819686783911e+02,-7.001738260708735595e+01,-2.188299361591033776e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.119000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,6.500000000000000000e+01,1.371213514942047027e+02,-7.011613872715956575e+01,-2.005212767045134292e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.121999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,6.500000000000000000e+01,1.363061569076257626e+02,-6.881762281201253018e+01,-2.488534095613229802e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.151000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,6.500000000000000000e+01,1.362218264331521027e+02,-6.895170711941912600e+01,-2.270119313732979371e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.153999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,6.500000000000000000e+01,1.354066318465731911e+02,-6.768436237484958440e+01,-2.722269471723613332e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.182999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,6.500000000000000000e+01,1.352941912139415876e+02,-6.779303735160928568e+01,-2.501153862332305078e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,6.500000000000000000e+01,1.343946661528890161e+02,-6.639414020467715716e+01,-3.000525948211865135e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,6.500000000000000000e+01,1.342260052039416678e+02,-6.642973194971915518e+01,-2.796273254222506388e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.225000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,6.500000000000000000e+01,1.334951410918364161e+02,-6.538303688293922278e+01,-3.112104208897199964e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,6.500000000000000000e+01,1.334951410918364161e+02,-6.574923368842861748e+01,-2.745907403407799929e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,6.500000000000000000e+01,1.325956160307838445e+02,-6.437913633702319771e+01,-3.216479693760645908e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.282999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,6.500000000000000000e+01,1.321458535002575445e+02,-6.391101270104049092e+01,-3.234840799217052254e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.298999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
